price	maint	doors	persons	lugg	safety	Value		price	maint	doors	persons	lugg	safety	value		price	maint	doors	persons	lugg	safety	value						
vhigh	vhigh	2	2	small	low	unacc		4	4	2	2	1	1	1		4	4	2	2	1	1	1					vhigh	4
vhigh	vhigh	2	2	small	med	unacc		4	4	2	2	1	2	1		4	4	2	2	1	2	1					high	3
vhigh	vhigh	2	2	small	high	unacc		4	4	2	2	1	3	1		4	4	2	2	1	3	1					med	2
vhigh	vhigh	2	2	med	low	unacc		4	4	2	2	2	1	1		4	4	2	2	2	1	1					low	1
vhigh	vhigh	2	2	med	med	unacc		4	4	2	2	2	2	1		4	4	2	2	2	2	1						
vhigh	vhigh	2	2	med	high	unacc		4	4	2	2	2	3	1		4	4	2	2	2	3	1					vgood	4
vhigh	vhigh	2	2	big	low	unacc		4	4	2	2	3	1	1		4	4	2	2	3	1	1					good	3
vhigh	vhigh	2	2	big	med	unacc		4	4	2	2	3	2	1		4	4	2	2	3	2	1					acc	2
vhigh	vhigh	2	2	big	high	unacc		4	4	2	2	3	3	1		4	4	2	2	3	3	1					unacc	1
vhigh	vhigh	2	4	small	low	unacc		4	4	2	4	1	1	1		4	4	2	4	1	1	1						
vhigh	vhigh	2	4	small	med	unacc		4	4	2	4	1	2	1		4	4	2	4	1	2	1					big	3
vhigh	vhigh	2	4	small	high	unacc		4	4	2	4	1	3	1		4	4	2	4	1	3	1					med	2
vhigh	vhigh	2	4	med	low	unacc		4	4	2	4	2	1	1		4	4	2	4	2	1	1					small	1
vhigh	vhigh	2	4	med	med	unacc		4	4	2	4	2	2	1		4	4	2	4	2	2	1						
vhigh	vhigh	2	4	med	high	unacc		4	4	2	4	2	3	1		4	4	2	4	2	3	1						
vhigh	vhigh	2	4	big	low	unacc		4	4	2	4	3	1	1		4	4	2	4	3	1	1						
vhigh	vhigh	2	4	big	med	unacc		4	4	2	4	3	2	1		4	4	2	4	3	2	1						
vhigh	vhigh	2	4	big	high	unacc		4	4	2	4	3	3	1		4	4	2	4	3	3	1						
vhigh	vhigh	2	more	small	low	unacc		4	4	2	5	1	1	1		4	4	2	5	1	1	1						
vhigh	vhigh	2	more	small	med	unacc		4	4	2	5	1	2	1		4	4	2	5	1	2	1						
vhigh	vhigh	2	more	small	high	unacc		4	4	2	5	1	3	1		4	4	2	5	1	3	1						
vhigh	vhigh	2	more	med	low	unacc		4	4	2	5	2	1	1		4	4	2	5	2	1	1						
vhigh	vhigh	2	more	med	med	unacc		4	4	2	5	2	2	1		4	4	2	5	2	2	1						
vhigh	vhigh	2	more	med	high	unacc		4	4	2	5	2	3	1		4	4	2	5	2	3	1						
